అ	a
పడుతున్నరని	p a dx u t u n n a r a n i
పడుతున్నాడు	p a dx u t u n n aa dx u
పడుతున్నానని	p a dx u t u n n aa n a n i
పడుతున్నాను	p a dx u t u n n aa n u
పడుతున్నామని	p a dx u t u n n aa m a n i
పడుతున్నాము	p a dx u t u n n aa m u
పడుతున్నామో	p a dx u t u n n aa m oo
పడుతున్నాయ	p a dx u t u n n aa y a
పడుతున్నాయని	p a dx u t u n n aa y a n i
పడుతున్నాయన్నారు	p a dx u t u n n aa y a n n aa r u
పడుతున్నాయి	p a dx u t u n n aa y i
పడుతున్నారని	p a dx u t u n n aa r a n i
పడుతున్నారనే	p a dx u t u n n aa r a n ee
పడుతున్నారన్నారు	p a dx u t u n n aa r a n n aa r u
పడుతున్నారు	p a dx u t u n n aa r u
పడుతున్నారో	p a dx u t u n n aa r oo
పడుతున్నారంటూ	p a dx u t u n n aa r a q tx uu
పడుతున్నారంటే	p a dx u t u n n aa r a q tx ee
పడుతున్నారండి	p a dx u t u n n aa r a q dx i
పడుతున్నాం	p a dx u t u n n aa q
పడుతున్నం	p a dx u t u n n a q
పడుతురదని	p a dx u t u r a d a n i
పడుతుం	p a dx u t u q
పడుతుంటారు	p a dx u t u q tx aa r u
పడుతుంటే	p a dx u t u q tx ee
పడుతుండటంతో	p a dx u t u q dx a tx a q t oo
పడుతుందని	p a dx u t u q d a n i
పడుతుందనేది	p a dx u t u q d a n ee d i
పడుతుందన్న	p a dx u t u q d a n n a
పడుతుందన్నమాట	p a dx u t u q d a n n a m aa tx a
పడుతుందన్నారు	p a dx u t u q d a n n aa r u
పడుతుందా	p a dx u t u q d aa
పడుతుంది	p a dx u t u q d i
పడుతుందంటే	p a dx u t u q d a q tx ee
పడుతూ	p a dx u t uu
పడుతూనే	p a dx u t uu n ee
పడుతోందన్నారు	p a dx u t oo q d a n n aa r u
పడుతోంది	p a dx u t oo q d i
పడుంది	p a dx u q d i
పడే	p a dx ee
పడేది	p a dx ee d i
పడేదిలేదు	p a dx ee d i l ee d u
పడేపోయేది	p a dx ee p oo y ee d i
పడేయగా	p a dx ee y a g aa
పడేయటం	p a dx ee y a tx a q
పడేయడానికి	p a dx ee y a dx aa n i k i
పడేయడం	p a dx ee y a dx a q
పడేయడంతో	p a dx ee y a dx a q t oo
పడేయడంపై	p a dx ee y a dx a q p ai
పడేలా	p a dx ee l aa
పడేవారి	p a dx ee w aa r i
పడేవాళ్ళు	p a dx ee w aa lx lx u
పడేవాళ్ళం	p a dx ee w aa lx lx a q
పడేశా	p a dx ee sh aa
పడేశారని	p a dx ee sh aa r a n i
పడేశారా	p a dx ee sh aa r aa
పడేశారు	p a dx ee sh aa r u
పడేసి	p a dx ee s i
పడేసిన	p a dx ee s i n a
పడేసినట్లుగా	p a dx ee s i n a tx l u g aa
పడేసిందని	p a dx ee s i q d a n i
పడేసింది	p a dx ee s i q d i
పడేసేలా	p a dx ee s ee l aa
పడేస్తున్నాయని	p a dx ee s t u n n aa y a n i
పడేస్తున్నారు	p a dx ee s t u n n aa r u
పడేస్తుంది	p a dx ee s t u q d i
పడైకూడదు	p a dx ai k uu dx a d u
పడైపోతారు	p a dx ai p oo t aa r u
పడొచ్చు	p a dx o c c u
పడొద్దని	p a dx o d d a n i
పడ్డ	p a dx dx a
పడ్డట్లు	p a dx dx a tx l u
పడ్డనో	p a dx dx a n oo
పడ్డా	p a dx dx aa
పడ్డాక	p a dx dx aa k a
పడ్డాడు	p a dx dx aa dx u
పడ్డామని	p a dx dx aa m a n i
పడ్డాము	p a dx dx aa m u
పడ్డామంటే	p a dx dx aa m a q tx ee
పడ్డాయని	p a dx dx aa y a n i
పడ్డాయన్నారు	p a dx dx aa y a n n aa r u
పడ్డాయా	p a dx dx aa y aa
పడ్డాయి	p a dx dx aa y i
పడ్డారట	p a dx dx aa r a tx a
పడ్డారని	p a dx dx aa r a n i
పడ్డారనే	p a dx dx aa r a n ee
పడ్డారన్నారు	p a dx dx aa r a n n aa r u
పడ్డారా	p a dx dx aa r aa
పడ్డారు	p a dx dx aa r u
పడ్డం	p a dx dx a q
పడ్లేక	p a dx l ee k a
పణంగా	p a nx a q g aa
పతకమే	p a t a k a m ee
పతకాన్ని	p a t a k aa n n i
పతకాాలు	p a t a k aa aa l u
పతకం	p a t a k a q
పతనాలు	p a t a n aa l u
పతనం	p a t a n a q
పతాక	p a t aa k a
పతాకస్థాయికి	p a t aa k a s th aa y i k i
పతాకస్థాయిని	p a t aa k a s th aa y i n i
పతాకాన్ని	p a t aa k aa n n i
పతాకం	p a t aa k a q
పతాంజలి	p a t aa q j a l i
పతి	p a t i
పతిపాటి	p a t i p aa tx i
పతంగులను	p a t a q g u l a n u
పతంగులు	p a t a q g u l u
పతంజలి	p a t a q j a l i
పత్తా	p a t t aa
పత్తి	p a t t i
పత్తికి	p a t t i k i
పత్తికొండ	p a t t i k o q dx a
పత్తిని	p a t t i n i
పత్తిపాటి	p a t t i p aa tx i
పత్తిపాడ	p a t t i p aa dx a
పత్తిపాడు	p a t t i p aa dx u
పత్తివెళ్ళ	p a t t i w e lx lx a
పత్తివేసిన	p a t t i w ee s i n a
పత్రా	p a t r aa
పత్రాన్ని	p a t r aa n n i
పత్రాల	p a t r aa l a
పత్రాలను	p a t r aa l a n u
పత్రాలిచ్చారు	p a t r aa l i c c aa r u
పత్రాలు	p a t r aa l u
పత్రాలే	p a t r aa l ee
పత్రాల్లో	p a t r aa l l oo
పత్రిక	p a t r i k a
పత్రికకు	p a t r i k a k u
పత్రికను	p a t r i k a n u
పత్రికపై	p a t r i k a p ai
పత్రికల	p a t r i k a l a
పత్రికలకు	p a t r i k a l a k u
పత్రికలపై	p a t r i k a l a p ai
పత్రికలు	p a t r i k a l u
పత్రికలో	p a t r i k a l oo
పత్రికల్లో	p a t r i k a l l oo
పత్రికల్లోను	p a t r i k a l l oo n u
పత్రికా	p a t r i k aa
పత్రికి	p a t r i k i
పత్రికం	p a t r i k a q
పత్రం	p a t r a q
పథక	p a th a k a
పథకానికి	p a th a k aa n i k i
పథకాన్ని	p a th a k aa n n i
పథకాల	p a th a k aa l a
పథకాలకు	p a th a k aa l a k u
పథకాలకూ	p a th a k aa l a k uu
పథకాలతో	p a th a k aa l a t oo
పథకాలని	p a th a k aa l a n i
పథకాలను	p a th a k aa l a n u
పథకాలన్నింటినీ	p a th a k aa l a n n i q tx i n ii
పథకాలన్నీ	p a th a k aa l a n n ii
పథకాలపై	p a th a k aa l a p ai
పథకాలు	p a th a k aa l u
పథకాల్లో	p a th a k aa l l oo
పథకం	p a th a k a q
పథకంలో	p a th a k a q l oo
పథకంలోని	p a th a k a q l oo n i
పథకంలోనూ	p a th a k a q l oo n uu
పథంలో	p a th a q l oo
పద	p a d a
పదకాలు	p a d a k aa l u
పదకొండవ	p a d a k o q dx a w a
పదకొండు	p a d a k o q dx u
పదకొండున్నర	p a d a k o q dx u n n a r a
పదజాలం	p a d a j aa l a q
పదజాలంతో	p a d a j aa l a q t oo
పదమూడు	p a d a m uu dx u
పదమూడులో	p a d a m uu dx u l oo
పదమూడెండ్ల	p a d a m uu dx e q dx l a
పదవ	p a d a w a
పదవి	p a d a w i
పదవికి	p a d a w i k i
పదవిని	p a d a w i n i
పదవిపై	p a d a w i p ai
పదవిలో	p a d a w i l oo
పదవిలోకి	p a d a w i l oo k i
పదవిలోనే	p a d a w i l oo n ee
పదవీ	p a d a w ii
పదవీకాలాన్ని	p a d a w ii k aa l aa n n i
పదవుల	p a d a w u l a
పదవులకు	p a d a w u l a k u
పదవులను	p a d a w u l a n u
పదవులలో	p a d a w u l a l oo
పదవులివ్వడంతోపాటు	p a d a w u l i w w a dx a q t oo p aa tx u
పదవులు	p a d a w u l u
పదవులున్న	p a d a w u l u n n a
పదవుల్లో	p a d a w u l l oo
పదహరు	p a d a h a r u
పదహారు	p a d a h aa r u
పదాకని	p a d aa k a n i
పదాకలను	p a d aa k a l a n u
పదార్థాలను	p a d aa r th aa l a n u
పదార్థాలు	p a d aa r th aa l u
పదార్దాల్లో	p a d aa r d aa l l oo
పదార్ధాలు	p a d aa r dh aa l u
పదార్ధం	p a d aa r dh a q
పదాలతో	p a d aa l a t oo
పదాలు	p a d aa l u
పది	p a d i
పదినుంచి	p a d i n u q c i
పదినేహేళ్లు	p a d i n ee h ee lx l u
పదిన్నర	p a d i n n a r a
పదిపదిహేనేళ్ల	p a d i p a d i h ee n ee lx l a
పదిమంది	p a d i m a q d i
పదిమందికి	p a d i m a q d i k i
పదిమందిలో	p a d i m a q d i l oo
పదిమందైనా	p a d i m a q d ai n aa
పదిలక్షల	p a d i l a k sx a l a
పదివేల	p a d i w ee l a
పదివేలతో	p a d i w ee l a t oo
పదివేలు	p a d i w ee l u
పదిహేడు	p a d i h ee dx u
పదిహేడేళ్ల	p a d i h ee dx ee lx l a
పదిహేనవ	p a d i h ee n a w a
పదిహేను	p a d i h ee n u
పదిహేనేళ్ల	p a d i h ee n ee lx l a
పదిహేనో	p a d i h ee n oo
పదింతలు	p a d i q t a l u
పదుకొనె	p a d u k o n e
పదుతదని	p a d u t a d a n i
పదును	p a d u n u
పదునుగా	p a d u n u g aa
పదునెక్కుతున్న	p a d u n e k k u t u n n a
పదునైన	p a d u n ai n a
పదుల	p a d u l a
పదే	p a d ee
పదేనిమిది	p a d ee n i m i d i
పదేపదే	p a d ee p a d ee
పదేళఅలలో	p a d ee lx a l a l oo
పదేళ్ల	p a d ee lx l a
పదేళ్లకు	p a d ee lx l a k u
పదేళ్లలో	p a d ee lx l a l oo
పదేళ్లు	p a d ee lx l u
పదేళ్లుగా	p a d ee lx l u g aa
పదేళ్ళ	p a d ee lx lx a
పదేళ్ళకు	p a d ee lx lx a k u
పదేళ్ళపాటు	p a d ee lx lx a p aa tx u
పదేళ్ళుగా	p a d ee lx lx u g aa
పదో	p a d oo
పదోన్నతులకు	p a d oo n n a t u l a k u
పదోరోజు	p a d oo r oo j u
పదం	p a d a q
పదంటే	p a d a q tx ee
పదండి	p a d a q dx i
పదంలో	p a d a q l oo
పద్దతి	p a d d a t i
పద్దతిగా	p a d d a t i g aa
పద్దతిలో	p a d d a t i l oo
పద్దతీ	p a d d a t ii
పద్దతులను	p a d d a t u l a n u
పద్దతులు	p a d d a t u l u
పద్దతే	p a d d a t ee
పద్దతండి	p a d d a t a q dx i
పద్దనిమిది	p a d d a n i m i d i
పద్దు	p a d d u
పద్దెనిమిది	p a d d e n i m i d i
పద్దెంది	p a d d e q d i
పద్దంగా	p a d d a q g aa
పద్ధతి	p a d dh a t i
పద్ధతికి	p a d dh a t i k i
పద్ధతిగా	p a d dh a t i g aa
పద్ధతిని	p a d dh a t i n i
పద్ధతిలొ	p a d dh a t i l o
పద్ధతిలో	p a d dh a t i l oo
పద్ధతిలోనే	p a d dh a t i l oo n ee
పద్ధతుల	p a d dh a t u l a
పద్ధతులతో	p a d dh a t u l a t oo
పద్ధతులు	p a d dh a t u l u
పద్ధతుల్ని	p a d dh a t u l n i
పద్ధతుల్లో	p a d dh a t u l l oo
పద్ధతుల్లోనే	p a d dh a t u l l oo n ee
పద్నాలుగు	p a d n aa l u g u
పద్నాలుగో	p a d n aa l u g oo
పద్నాల్గో	p a d n aa l g oo
పద్నేమిది	p a d n ee m i d i
పద్మ	p a d m a
పద్మతో	p a d m a t oo
పద్మనాభ	p a d m a n aa bh a
పద్మనాభానికి	p a d m a n aa bh aa n i k i
పద్మనాభాన్ని	p a d m a n aa bh aa n n i
పద్మనాభూషణ్	p a d m a n aa bh uu sx a nx
పద్మనాభం	p a d m a n aa bh a q
పద్మనాభంతో	p a d m a n aa bh a q t oo
పద్మనాభంను	p a d m a n aa bh a q n u
పద్మవ్యూహంలో	p a d m a w y uu h a q l oo
పద్మశాలీలు	p a d m a sh aa l ii l u
పద్మశ్రీ	p a d m a sh r ii
పద్మా	p a d m aa
పద్మారావు	p a d m aa r aa w u
పద్మాలయ	p a d m aa l a y a
పద్మావతి	p a d m aa w a t i
పద్మిని	p a d m i n i
పద్యలాగా	p a d y a l aa g aa
పద్యాలని	p a d y aa l a n i
పద్యాలూ	p a d y aa l uu
పధకాల	p a dh a k aa l a
పధకాలు	p a dh a k aa l u
పధకం	p a dh a k a q
పన	p a n a
పనగారియాకు	p a n a g aa r i y aa k u
పనవ్వడు	p a n a w w a dx u
పనసపండు	p a n a s a p a q dx u
పనామా	p a n aa m aa
పని	p a n i
పనికి	p a n i k i
పనికిమాలిన	p a n i k i m aa l i n a
పనికిరాదు	p a n i k i r aa d u
పనికిరారని	p a n i k i r aa r a n i
పనికిరారు	p a n i k i r aa r u
పనికివెళ్లారు	p a n i k i w e lx l aa r u
పనికెళ్లొచ్చిన	p a n i k e lx l o c c i n a
పనికెళ్ళారు	p a n i k e lx lx aa r u
పనికే	p a n i k ee
పనికైనా	p a n i k ai n aa
